Code	Lat	Long	Tax
AUH	24.4319	54.64198	
AUI	-1.46105	143.0645	
AUJ	-4.21583	142.8234	
AUK	62.68917	-164.611	
AUL	8.14528	171.173	
AUM	43.66667	-92.9833	
AUN	38.9	-121.067	
AUO	32.63333	-85.5	
AUP	-9.98333	149.5833	
AUQ	-9.76668	-139.01	
AUR	44.8975	2.418056	
AUS	30.19349	-97.665	
AUT	-8.24357	125.6067	
AUU	-13.1667	142.25	
AUV	-5.72782	148.4458	
AUW	44.92333	-89.6231	
AUX	-7.2	-48.2	
AUY	-20.3333	169.6667	
AUZ	41.75	-88.3167	
AVA	26.25722	105.8728	
AVB	46.03137	12.60205	
AVG	-15.6853	130.0084	
AVI	22.025	-78.7914	
AVK	46.24848	102.8047	
AVL	35.43642	-82.5409	
AVN	43.9	4.9	
AVO	27.6	-81.5167	
AVP	41.33709	-75.7226	
AVR	38.8833	-9.0301	
AVU	-9.83333	160.3833	
AVV	-38.0416	144.4723	
AVW	32.41137	-111.217	
AVX	33.34167	-118.315	
AWA	7.064351	38.49101	
AWB	-8.01667	142.75	
AWD	-19.25	169.5	
AWE	-0.75	9.45	
AWK	19.28335	166.6336	
AWM	35.13333	-90.1833	
AWN	-26.25	138.6667	
AWP	-20.494	137.7653	
AWR	-4.12417	144.8703	
AWZ	31.33751	48.76184	
AXA	18.20548	-63.0561	
AXB	44.2525	-75.9014	
AXC	-22.9573	145.2483	
AXD	40.85631	25.95534	
AXE	-26.8749	-52.3734	
AXF	38.7477	105.5861	
AXG	43.07784	-94.2714	
AXJ	32.48222	130.1585	
AXK	13.86667	46.3	
AXL	-19.0833	136.6667	
AXM	4.452869	-75.768	
AXN	45.86722	-95.3942	
AXO	-8.24469	124.2193	
AXP	22.45	-73.9667	
AXR	-15.25	-146.75	
AXS	34.69881	-99.3385	
AXT	39.61462	140.2194	
AXU	14.12083	38.71667	
AXV	40.56667	-84.2	
AXX	36.42025	-105.291	
AYA	8.3	-75.15	
AYC	8.602133	-73.6131	
AYD	-19.3	135.95	
AYE	42.55	-71.6	
AYG	1.533333	-73.9333	
AYI	-0.33333	-72.3333	
AYJ	26.74803	82.15078	
AYK	50.31517	66.94696	
AYL	-18.0198	135.542	
AYM	24.467	54.6103	
AYN	36.13225	114.341	
AYO	-27.3683	-56.8541	
AYP	-13.1972	-74.2472	
AYQ	-25.1818	130.9758	
AYR	-19.5942	147.3271	
AYS	31.24848	-82.3938	
AYT	36.89994	30.79819	
AYU	-6.33664	145.903	
AYW	-1.2	132.5	
AYX	-10.7285	-73.7691	
AYY	6.86	81.82389	
AYZ	40.66667	-73.4167	
AZA	33.30591	-111.653	
AZB	-10.15	148.8167	
AZD	31.9036	54.28326	
AZG	19.06806	-102.353	
AZH	26.15333	83.11833	
AZI	24.41917	54.45167	
AZJ	31.91227	119.784	
AZL	-13.4655	-58.8669	
AZN	40.72654	72.29304	
AZO	42.23079	-85.551	
AZP	19.41667	-99.1	
AZR	27.88333	-0.28333	
AZS	19.27056	-69.7369	
AZT	6.866667	-73.25	
AZZ	-7.88333	13.15	
BAA	-5.3315	151.0096	
BAB	39.15	-121.583	
BAC	4.572835	-72.9755	
BAD	32.5	-93.6667	
BAE	44.38718	6.608086	
BAF	42.13333	-72.75	
BAG	16.37508	120.6193	
BAH	26.2697	50.6329	
BAI	9.166667	-83.3333	
BAJ	-4.83333	149.1333	
BAL	37.91667	41.08333	
BAM	40.63333	-116.933	
BAN	-4.31518	20.41424	
BAO	17.385	102.7928	
BAP	-10.3333	149.75	
BAQ	10.8864	-74.7762	
BAR	55.33333	-133.6	
BAS	-6.99118	155.8855	
BAT	-20.55	-48.55	
BAU	-22.3451	-49.0533	
BAV	40.56068	110	
BAW	-0.66667	146.35	
BAX	53.36356	83.55045	
BAY	47.65	23.46667	
